time_s,MassTrsf.Gas_comps,MassTrsf.Cell_centers,value
10.0,1.0,2.1875,0.9178173667527584
10.0,1.0,2.3125,0.9262780720244347
10.0,1.0,2.4375,0.9400660162576182
10.0,2.0,0.0625,0.24009711610147977
10.0,2.0,0.1875,0.23385183803222254
10.0,2.0,0.3125,0.2251319616580115
10.0,2.0,0.4375,0.21559585611188
10.0,2.0,0.5625,0.20586130001430766
10.0,2.0,0.6875,0.19607211640460134
10.0,2.0,0.8125,0.1862512294963247
10.0,2.0,0.9375,0.17641635867247565
10.0,2.0,1.0625,0.16653008284930684
10.0,2.0,1.1875,0.15670431006098404
10.0,2.0,1.3125,0.14659861118165624
10.0,2.0,1.4375,0.13719528770327777
10.0,2.0,1.5625,0.1280459747583809
10.0,2.0,1.6875,0.1188336599734981
10.0,2.0,1.8125,0.10964997015869281
10.0,2.0,1.9375,0.10044448519306347
10.0,2.0,2.0625,0.09139114989623434
10.0,2.0,2.1875,0.08218263324724161
10.0,2.0,2.3125,0.0737219279755653
10.0,2.0,2.4375,0.059933983742381916
10.0,3.0,0.0625,-4.722539762515375e-25
10.0,3.0,0.1875,1.389491530142179e-24
10.0,3.0,0.3125,1.9376482722485432e-24
10.0,3.0,0.4375,-1.0024093275446467e-25
10.0,3.0,0.5625,-2.557464470115966e-24
10.0,3.0,0.6875,-4.39885424999301e-24
10.0,3.0,0.8125,-4.883128603850892e-24
10.0,3.0,0.9375,-3.615289182113733e-24
10.0,3.0,1.0625,-1.6746702203498103e-24
10.0,3.0,1.1875,-5.470553757240276e-25
10.0,3.0,1.3125,1.193328033221174e-27
10.0,3.0,1.4375,1.5534063462164047e-26
10.0,3.0,1.5625,-1.7934219713121478e-25
10.0,3.0,1.6875,-6.023106145695731e-25
10.0,3.0,1.8125,-5.913930993816302e-25
10.0,3.0,1.9375,-1.7059431828237705e-24
10.0,3.0,2.0625,-9.506131148940563e-25
10.0,3.0,2.1875,-4.264090721603687e-24
10.0,3.0,2.3125,-5.373795760610132e-24
10.0,3.0,2.4375,2.8110386652823875e-24
12.0,1.0,0.0625,0.5104582758640847
12.0,1.0,0.1875,0.5170608892032523
12.0,1.0,0.3125,0.5262650708768444
12.0,1.0,0.4375,0.5363086794767429
12.0,1.0,0.5625,0.5465325181437335
12.0,1.0,0.6875,0.5567835451394595
12.0,1.0,0.8125,0.5670367231974941
12.0,1.0,0.9375,0.5772747242384318
12.0,1.0,1.0625,0.5875328730247955
12.0,1.0,1.1875,0.5977015179679537
12.0,1.0,1.3125,0.6081189325152132
12.0,1.0,1.4375,0.6177874358023681
12.0,1.0,1.5625,0.6271988485106865
12.0,1.0,1.6875,0.6366529330951779
12.0,1.0,1.8125,0.6460661947765984
12.0,1.0,1.9375,0.6554793671733581
12.0,1.0,2.0625,0.6647502251862786
12.0,1.0,2.1875,0.6742578266514178
12.0,1.0,2.3125,0.6830282390905588
12.0,1.0,2.4375,0.6970229566232565
